Geo,Year,PropSovDvmtDiverted
Jackson,2020,0.043333333
Jefferson,2020,0.0425
Josephine,2020,0.011
Klamath,2020,0.0425
Lake,2020,0.0425
Lane,2020,0.112
Lincoln,2020,0.0425
Linn,2020,0.02
Malheur,2020,0.0425
Marion,2020,0.04
Morrow,2020,0.0425
Multnomah,2020,0.225
Polk,2020,0.0425
Sherman,2020,0.0425
Tillamook,2020,0.0425
Umatilla,2020,0.0425
Union,2020,0.0425
Wallowa,2020,0.0425
Wasco,2020,0.0425
Washington,2020,0.122
Wheeler,2020,0.0425
Yamhill,2020,0.0425
Baker,2025,0.009375
Benton,2025,0.033
Clackamas,2025,0.075
Clatsop,2025,0.009375
Columbia,2025,0.009375
Coos,2025,0.009375
Crook,2025,0.009375
Curry,2025,0.009375
Deschutes,2025,0.055875
Douglas,2025,0.009375
Gilliam,2025,0.009375
Grant,2025,0.009375
Harney,2025,0.009375
Hood River,2025,0.009375
Jackson,2025,0.0075
Jefferson,2025,0.009375
Josephine,2025,0.0585
Klamath,2025,0.009375
Lake,2025,0.009375
Lane,2025,0.063
Lincoln,2025,0.009375
Linn,2025,0.045
Malheur,2025,0.009375
Marion,2025,0.005
Morrow,2025,0.009375
Multnomah,2025,0.036
Polk,2025,0.009375
Sherman,2025,0.009375
Tillamook,2025,0.009375
Umatilla,2025,0.009375
Union,2025,0.009375
Wallowa,2025,0.009375
Wasco,2025,0.009375
Washington,2025,-0.105
Wheeler,2025,0.009375
Yamhill,2025,0.009375
Baker,2030,0.0825
Benton,2030,0.069
Clackamas,2030,0.225
Clatsop,2030,0.0825
Columbia,2030,0.0825
Coos,2030,0.0825
Crook,2030,0.0825
Curry,2030,0.0825
Deschutes,2030,0.12675
Douglas,2030,0.0825
Gilliam,2030,0.0825
Grant,2030,0.0825
Harney,2030,0.0825
Hood River,2030,0.0825
Jackson,2030,0.08
Jefferson,2030,0.0825
Josephine,2030,0.1335
Klamath,2030,0.0825
Lake,2030,0.0825
Lane,2030,0.099
Lincoln,2030,0.0825
Linn,2030,0.12
Malheur,2030,0.0825
Marion,2030,0.070000001
Morrow,2030,0.0825
Multnomah,2030,0.078
Polk,2030,0.0825
Sherman,2030,0.0825
Tillamook,2030,0.0825
Umatilla,2030,0.0825
Union,2030,0.0825
Wallowa,2030,0.0825
Wasco,2030,0.0825
Washington,2030,-0.0285
Wheeler,2030,0.0825
Yamhill,2030,0.0825
Baker,2035,0.155625
Benton,2035,0.12
Clackamas,2035,0.36
Clatsop,2035,0.155625
Columbia,2035,0.155625
Coos,2035,0.155625
Crook,2035,0.155625
Curry,2035,0.155625
Deschutes,2035,0.1935
Douglas,2035,0.155625
Gilliam,2035,0.155625
Grant,2035,0.155625
Harney,2035,0.155625
Hood River,2035,0.155625
Jackson,2035,0.152500001
Jefferson,2035,0.155625
Josephine,2035,0.2085
Klamath,2035,0.155625
Lake,2035,0.155625
Lane,2035,0.135
Lincoln,2035,0.155625
Linn,2035,0.195
Malheur,2035,0.155625
Marion,2035,0.135
Morrow,2035,0.155625
Multnomah,2035,0.12
Polk,2035,0.155625
Sherman,2035,0.155625
Tillamook,2035,0.155625
Umatilla,2035,0.155625
Union,2035,0.155625
Wallowa,2035,0.155625
Wasco,2035,0.155625
Washington,2035,0.0495
Wheeler,2035,0.155625
Yamhill,2035,0.155625
Baker,2040,0.22875
Benton,2040,0.156
Clackamas,2040,0.42
Clatsop,2040,0.22875
Columbia,2040,0.22875
Coos,2040,0.22875
Crook,2040,0.22875
Curry,2040,0.22875
Deschutes,2040,0.249375
Douglas,2040,0.22875
Gilliam,2040,0.22875
Grant,2040,0.22875
Harney,2040,0.22875
Hood River,2040,0.22875
Jackson,2040,0.225
Jefferson,2040,0.22875
Josephine,2040,0.2835
Klamath,2040,0.22875
Lake,2040,0.22875
Lane,2040,0.195
Lincoln,2040,0.22875
Linn,2040,0.27
Malheur,2040,0.22875
Marion,2040,0.2
Morrow,2040,0.22875
Multnomah,2040,0.1635
Polk,2040,0.22875
Sherman,2040,0.22875
Tillamook,2040,0.22875
Umatilla,2040,0.22875
Union,2040,0.22875
Wallowa,2040,0.22875
Wasco,2040,0.22875
Washington,2040,0.126
Wheeler,2040,0.22875
Yamhill,2040,0.22875
Baker,2045,0.301875
Benton,2045,0.207
Clackamas,2045,0.462
Clatsop,2045,0.301875
Columbia,2045,0.301875
Coos,2045,0.301875
Crook,2045,0.301875
Curry,2045,0.301875
Deschutes,2045,0.29025
Douglas,2045,0.301875
Gilliam,2045,0.301875
Grant,2045,0.301875
Harney,2045,0.301875
Hood River,2045,0.301875
Jackson,2045,0.2925
Jefferson,2045,0.301875
Josephine,2045,0.3585
Klamath,2045,0.301875
Lake,2045,0.301875
Lane,2045,0.255
Lincoln,2045,0.301875
Linn,2045,0.345
Malheur,2045,0.301875
Marion,2045,0.265000001
Morrow,2045,0.301875
Multnomah,2045,0.114
Polk,2045,0.301875
Sherman,2045,0.301875
Tillamook,2045,0.301875
Umatilla,2045,0.301875
Union,2045,0.301875
Wallowa,2045,0.301875
Wasco,2045,0.301875
Washington,2045,0.1665
Wheeler,2045,0.301875
Yamhill,2045,0.301875
Baker,2050,0.375
Benton,2050,0.243
Clackamas,2050,0.492
Clatsop,2050,0.375
Columbia,2050,0.375
Coos,2050,0.375
Crook,2050,0.375
Curry,2050,0.375
Deschutes,2050,0.331125
Douglas,2050,0.375
Gilliam,2050,0.375
Grant,2050,0.375
