Geo,Year,CenterPropWkrPay,CenterPropNonWrkTripPay,InnerPropWkrPay,InnerPropNonWrkTripPay,OuterPropWkrPay,OuterPropNonWrkTripPay,CenterPropCashOut,InnerPropCashOut,OuterPropCashOut,CenterPkgCost.2005,InnerPkgCost.2005,OuterPkgCost.2005
Albany,1990,0,0,0,0,0,0,0,0,0,0,0,0
Albany,1995,0,0,0,0,0,0,0,0,0,0,0,0
Albany,2000,0,0,0,0,0,0,0,0,0,0,0,0
Albany,2005,0,0,0,0,0,0,0,0,0,0,0,0
Albany,2010,0.0213,0.0213,0,0,0,0,0,0,0,1.108982637,0.831736978,0
Albany,2015,0.0151,0.0151,0,0,0,0,0,0,0,1.112017041,0.834012781,0
Albany,2020,0.0153,0.0153,0,0,0,0,0,0,0,1.321958374,0.991468781,0
Albany,2025,0.0178,0.0127,0.001667,0,0,0,0.283,1,0,1.327834505,0.995875879,0
Albany,2030,0.0202,0.0112,0.003333,0,0,0,0.4448,1,0,1.36388384,1.02291288,0
Albany,2035,0.0235,0.0106,0.005,0,0,0,0.5494,1,0,1.412851021,1.059638266,0
Albany,2040,0.0269,0.0101,0.006667,0,0,0,0.6227,1,0,1.509797839,1.132348379,0
Albany,2045,0.0289,0.0093,0.008333,0,0,0,0.6768,1,0,1.514182071,1.135636553,0
Albany,2050,0.031,0.0087,0.01,0,0,0,0.9,0.9,0,1.559558682,1.169669012,0
Bend,1990,0,0,0,0,0,0,0,0.9,0,0,0,0
Bend,1995,0,0,0,0,0,0,0,0.9,0,0,0,0
Bend,2000,0,0,0,0,0,0,0,0.9,0,0,0,0
Bend,2005,0,0,0,0,0,0,0,0.9,0,0,0,0
Bend,2010,0.05,0.05,0,0,0,0,0,0.9,0,0.368750852,0.276563139,0
Bend,2015,0.0509,0.0509,0,0,0,0,0,0.9,0,0.362228048,0.271671036,0
Bend,2020,0.0442,0.0442,0,0,0,0,0,0.9,0,0.407467858,0.305600894,0
Bend,2025,0.0432,0.0385,0.001667,0,0,0,0.1106,0.9,0,0.425108219,0.318831164,0
Bend,2030,0.0423,0.0336,0.003333,0,0,0,0.2056,0.9,0,0.45441092,0.34080819,0
Bend,2035,0.0411,0.0292,0.005,0,0,0,0.2882,0.9,0,0.465655867,0.3492419,0
Bend,2040,0.0399,0.0255,0.006667,0,0,0,0.3606,0.9,0,0.490715469,0.368036602,0
Bend,2045,0.0384,0.0221,0.008333,0,0,0,0.4246,0.9,0,0.49688871,0.372666533,0
Bend,2050,0.037,0.0192,0.01,0,0,0,0.9,0.9,0,0.516788588,0.387591441,0
Corvallis,1990,0,0,0,0,0,0,0.9,0.9,0,0,0,0
Corvallis,1995,0,0,0,0,0,0,0.9,0.9,0,0,0,0
Corvallis,2000,0,0,0,0,0,0,0.9,0.9,0,0,0,0
Corvallis,2005,0.0507,0.0507,0,0,0,0,0.9,0.9,0,0.409194147,0.30689561,0
Corvallis,2010,0.0557,0.0557,0,0,0,0,0.9,0.9,0,0.630053136,0.472539852,0
Corvallis,2015,0.3508,0.3508,0,0,0,0,0.9,0.9,0,0.603283076,0.452462307,0
Corvallis,2020,0.3768,0.3768,0,0,0,0,0.9,0.9,0,0.743509678,0.557632259,0
Corvallis,2025,0.4395,0.4245,0.005,0,0,0,0.9,0.9,0,0.794250219,0.595687664,0
Corvallis,2030,0.5023,0.4734,0.01,0,0,0,0.9,0.9,0,0.869040384,0.651780288,0
Corvallis,2035,0.5287,0.4894,0.015,0,0,0,0.9,0.9,0,0.935759298,0.701819474,0
Corvallis,2040,0.5551,0.5067,0.02,0,0,0,0.9,0.9,0,1.084916073,0.813687055,0
Corvallis,2045,0.6154,0.5556,0.025,0,0,0,0.9,0.9,0,1.408787279,1.056590459,0
Corvallis,2050,0.6757,0.6045,0.03,0,0,0,0.9,0.9,0,1.789339262,1.342004447,0
EugeneSpringfield,1990,0.1379,0.1379,0,0,0,0,0.9,0.9,0,0.784282999,0.588212249,0
EugeneSpringfield,1995,0.1379,0.1379,0,0,0,0,0.9,0.9,0,0.784282999,0.588212249,0
EugeneSpringfield,2000,0.1254,0.1254,0,0,0,0,0.9,0.9,0,0.784282999,0.588212249,0
EugeneSpringfield,2005,0.1714,0.1714,0,0,0,0,0.9,0.9,0,0.784282999,0.588212249,0
EugeneSpringfield,2010,0.1587,0.1587,0,0,0,0,0.9,0.9,0,1.306608062,0.979956047,0
EugeneSpringfield,2015,0.1534,0.1534,0,0,0,0,0.9,0.9,0,1.306608062,0.979956047,0
EugeneSpringfield,2020,0.1528,0.1528,0,0,0,0,0.9,0.9,0,1.431971355,1.073978516,0
EugeneSpringfield,2025,0.1517,0.1414,0.005,0,0,0,0.9,0.9,0,1.463637236,1.097727927,0
EugeneSpringfield,2030,0.1506,0.1313,0.01,0,0,0,0.9,0.9,0,1.531764509,1.148823382,0
EugeneSpringfield,2035,0.1512,0.1235,0.015,0,0,0,0.9,0.9,0,1.530973878,1.148230409,0
EugeneSpringfield,2040,0.1519,0.1169,0.02,0,0,0,0.9,0.9,0,1.536772108,1.152579081,0
EugeneSpringfield,2045,0.1549,0.1128,0.025,0,0,0,0.9,0.9,0,1.547225758,1.160419319,0
EugeneSpringfield,2050,0.158,0.1091,0.03,0,0,0,0.9,0.9,0,1.599913373,1.19993503,0
GrantsPass,1990,0,0,0,0,0,0,0,0.9,0,0,0,0
GrantsPass,1995,0,0,0,0,0,0,0,0.9,0,0,0,0
GrantsPass,2000,0,0,0,0,0,0,0,0.9,0,0,0,0
GrantsPass,2005,0,0,0,0,0,0,0,0.9,0,0,0,0
GrantsPass,2010,0,0,0,0,0,0,0,0.9,0,0,0,0
GrantsPass,2015,0,0,0,0,0,0,0,0.9,0,0,0,0
GrantsPass,2020,0,0,0,0,0,0,0,0.9,0,0,0,0
GrantsPass,2025,0.004480397,0,0.001667,0,0,0,1,0.9,0,0.266401874,0.199801406,0
GrantsPass,2030,0.008667447,0,0.003333,0,0,0,1,0.9,0,0.572562948,0.429422211,0
GrantsPass,2035,0.012228776,0,0.005,0,0,0,1,0.9,0,0.581702505,0.436276879,0
GrantsPass,2040,0.015699519,0,0.006667,0,0,0,1,0.9,0,0.609676997,0.457257748,0
GrantsPass,2045,0.017827483,0,0.008333,0,0,0,1,0.9,0,0.618233311,0.463674983,0
GrantsPass,2050,0.021317235,0,0.01,0,0,0,0.9,0.9,0,0.64391919,0.482939393,0
Metro,1990,0.1951,0.1951,0,0,0,0,0,0.9,0,1.212326298,0.909244724,0
Metro,1995,0.1951,0.1951,0,0,0,0,0,0.9,0,1.212326298,0.909244724,0
Metro,2000,0.1767,0.1767,0,0,0,0,0,0.9,0,1.212326298,0.909244724,0
Metro,2005,0.2256,0.2256,0,0,0,0,0,0.9,0,1.212326298,0.909244724,0
Metro,2010,0.2163,0.2163,0,0,0,0,0,0.9,0,3.837424745,1.099623033,0
Metro,2015,0.2622,0.2622,0,0,0,0,0,0.9,0,4.988652168,1.099623033,0
Metro,2020,0.3148,0.3148,0,0,0,0,0,0.9,0,6.139879592,1.669166909,0
Metro,2025,0.3357,0.3282,0.005,0.005,0,0,0,0.9,0,5.899638224,1.603855703,0
Metro,2030,0.3567,0.342,0.01,0.01,0,0,0,0.9,0,5.74876754,1.562840509,0
Metro,2035,0.382,0.3603,0.015,0.015,0,0,0,0.9,0,5.648912302,1.5356942,0
Metro,2040,0.4072,0.3788,0.02,0.02,0,0,0,0.9,0,5.527066942,1.502569733,0
Metro,2045,0.431,0.3961,0.025,0.025,0,0,0,0.9,0,5.522256651,1.501262023,0
Metro,2050,0.4548,0.4135,0.03,0.03,0,0,0.9,0.9,0,5.784836647,1.572646134,0
RogueValley,1990,0,0,0,0,0,0,0.9,0.9,0,0,0,0
RogueValley,1995,0,0,0,0,0,0,0.9,0.9,0,0,0,0
RogueValley,2000,0,0,0,0,0,0,0.9,0.9,0,0,0,0
RogueValley,2005,0.0145,0.0145,0,0,0,0,0.9,0.9,0,0.839496762,0.629622572,0
RogueValley,2010,0.0547,0.0547,0,0,0,0,0.9,0.9,0,1.281456341,0.961092256,0
RogueValley,2015,0.0901,0.0901,0,0,0,0,0.9,0.9,0,1.529289931,1.146967448,0
RogueValley,2020,0.0869,0.0869,0,0,0,0,0.9,0.9,0,1.952980345,1.464735259,0
RogueValley,2025,0.089,0.0789,0.005,0,0,0,0.9,0.9,0,2.293312532,1.719984399,0
RogueValley,2030,0.091,0.0722,0.01,0,0,0,0.9,0.9,0,2.727718934,2.045789201,0
RogueValley,2035,0.0944,0.0675,0.015,0,0,0,0.9,0.9,0,3.100712075,2.325534056,0
RogueValley,2040,0.0977,0.0634,0.02,0,0,0,0.9,0.9,0,3.924121176,2.943090882,0
RogueValley,2045,0.1033,0.0611,0.025,0,0,0,0.9,0.9,0,3.936403558,2.952302669,0
RogueValley,2050,0.1089,0.0589,0.03,0,0,0,0.9,0.9,0,4.055306375,3.041479781,0
SalemKeizer,1990,0.1498,0.1498,0,0,0,0,0.9,0.9,0,0.842793458,0.632095094,0
SalemKeizer,1995,0.1498,0.1498,0,0,0,0,0.9,0.9,0,0.842793458,0.632095094,0
SalemKeizer,2000,0.1249,0.1249,0,0,0,0,0.9,0.9,0,0.842793458,0.632095094,0
SalemKeizer,2005,0.2051,0.2051,0,0,0,0,0.9,0.9,0,0.842793458,0.632095094,0
SalemKeizer,2010,0.2719,0.2719,0,0,0,0,0.9,0.9,0,1.582776803,1.187082602,0
SalemKeizer,2015,0.2603,0.2603,0,0,0,0,0.9,0.9,0,1.583486684,1.187615013,0
SalemKeizer,2020,0.254,0.254,0,0,0,0,0.9,0.9,0,1.788300664,1.341225498,0
SalemKeizer,2025,0.2459,0.2361,0.005,0,0,0,0.9,0.9,0,1.870136627,1.40260247,0
SalemKeizer,2030,0.2378,0.2192,0.01,0,0,0,0.9,0.9,0,2.003817913,1.502863435,0
