Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
Metro,2005,1,0,0,0.9988651,0.0011349,0.0000000,0.0000000,0.0000000,1.0000000
Metro,2010,1,0,0,0.9984617,0.0015383,0.0000000,0.0143042,0.0000000,0.9856958
Metro,2020,1,0,0,0.9311300,0.0646400,0.0042300,0.0120418,0.0000000,0.9879582
Metro,2025,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
Metro,2030,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
Metro,2035,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
Metro,2040,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
Metro,2045,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
Metro,2050,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
None,2005,1,0,0,0.9988651,0.0011349,0.0000000,0.0000000,0.0000000,1.0000000
None,2010,1,0,0,0.9984617,0.0015383,0.0000000,0.0143042,0.0000000,0.9856958
None,2020,1,0,0,0.9311300,0.0646400,0.0042300,0.0120418,0.0000000,0.9879582
None,2025,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
None,2030,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
None,2035,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
None,2040,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
None,2045,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
None,2050,1,0,0,0.9271300,0.0606400,0.0122300,0.0120418,0.0000000,0.9879582
