Geo,Year,FwyLaneMi,ArtLaneMi
Albany,1990,35,133
Albany,1995,35,133
Albany,2000,35,133
Albany,2005,35,133
Albany,2010,35,133
Albany,2015,35,133
Albany,2020,35,134
Albany,2025,35,134
Albany,2030,35,134
Albany,2035,35,134
Albany,2040,35,134
Albany,2045,35,138
Albany,2050,35,138
Bend,1990,43,161
Bend,1995,43,163
Bend,2000,43,166
Bend,2005,43,169
Bend,2010,43,168
Bend,2015,43,186
Bend,2020,43,190
Bend,2025,43,193
Bend,2030,43,201
Bend,2035,43,201
Bend,2040,43,201
Bend,2045,43,204
Bend,2050,43,204
Corvallis,1990,11,135
Corvallis,1995,11,136
Corvallis,2000,11,132
Corvallis,2005,11,135
Corvallis,2010,11,131
Corvallis,2015,11,143
Corvallis,2020,11,143
Corvallis,2025,11,149
Corvallis,2030,11,149
Corvallis,2035,11,149
Corvallis,2040,11,149
Corvallis,2045,11,149
Corvallis,2050,11,149
EugeneSpringfield,1990,127,412
EugeneSpringfield,1995,128,414
EugeneSpringfield,2000,129,417
EugeneSpringfield,2005,130,419
EugeneSpringfield,2010,137,401
EugeneSpringfield,2015,142,416
EugeneSpringfield,2020,145,415
EugeneSpringfield,2025,147,420
EugeneSpringfield,2030,147,420
EugeneSpringfield,2035,147,420
EugeneSpringfield,2040,147,420
EugeneSpringfield,2045,147,420
EugeneSpringfield,2050,147,420
GrantsPass,1990,100,159
GrantsPass,1995,100,159
GrantsPass,2000,100,159
GrantsPass,2005,100,159
GrantsPass,2010,100,159
GrantsPass,2015,100,159
GrantsPass,2020,100,159
GrantsPass,2025,100,159
GrantsPass,2030,100,159
GrantsPass,2035,100,159
GrantsPass,2040,100,159
GrantsPass,2045,100,159
GrantsPass,2050,100,159
Metro,1990,506,1943
Metro,1995,513,1960
Metro,2000,521,1981
Metro,2005,523,1995
Metro,2010,535,2014
Metro,2015,562,2094
Metro,2020,577,2103
Metro,2025,590,2132
Metro,2030,590,2132
Metro,2035,593,2162
Metro,2040,593,2162
Metro,2045,593,2162
Metro,2050,593,2162
None,1990,2237,12681
None,1995,2250,12681
None,2000,2270,12681
None,2005,2236,12524
None,2010,2202,12634
None,2015,2293,12105
None,2020,2302,12101
None,2025,2333,12101
None,2030,2333,12101
None,2035,2333,12101
None,2040,2333,12101
None,2045,2333,12101
None,2050,2333,12101
RogueValley,1990,101,410
RogueValley,1995,103,413
RogueValley,2000,104,416
RogueValley,2005,105,419
RogueValley,2010,115,419
RogueValley,2015,114,415
RogueValley,2020,131,416
RogueValley,2025,131,415
RogueValley,2030,131,419
RogueValley,2035,131,425
RogueValley,2040,131,425
RogueValley,2045,131,425
RogueValley,2050,131,425
SalemKeizer,1990,119,409
SalemKeizer,1995,120,413
SalemKeizer,2000,121,417
SalemKeizer,2005,122,419
SalemKeizer,2010,129,419
SalemKeizer,2015,137,434
SalemKeizer,2020,137,432
SalemKeizer,2025,138,435
SalemKeizer,2030,138,438
SalemKeizer,2035,138,438
SalemKeizer,2040,138,438
SalemKeizer,2045,138,438
SalemKeizer,2050,138,438
