Variables
HouseholdDvmtPerPrsn
TotalDvmtPerPrsn
LdvAveSpeed_Metro
LdvAveSpeed
FwyExtCongTTI_Metro
ArtExtCongTTI_Metro
AutoFatalCrash_Metro
AutoFatalUrban
AutoInjuryUrban
AutoFatalRural
ArtDvmtPropExtCong_SalemKeizer
HouseholdCO2ePerPrsn
HouseholdCO2ePerMileRural
HvyTrkAveUrbanCO2eRate_Metro
BusCO2eRate_Metro
TotalCO2e
HouseholdCO2ePerPrsn
WalkTripsPerCapita
BikeTripsPerCapita
BikePMTPerPrsnUrban
WalkPMTPerPrsnUrban
TransitTripsPerCapita
TransitPMTPerPrsnUrban
OwnCostPropHhLess25K
OwnCostPropHh25Kto50K
OwnCostProp
RoadUseTax
VehOwnTax
TotalFuelTax
Albany_VehDvmt
Albany_VehElecDvmt
Albany_VehElecDvmtProp
Bend_VehDvmt
Bend_VehElecDvmt
Bend_VehElecDvmtProp
Corvallis_VehDvmt
Corvallis_VehElecDvmt
Corvallis_VehElecDvmtProp
ElecDvmtProp
EugeneSpringfield_VehDvmt
EugeneSpringfield_VehElecDvmt
EugeneSpringfield_VehElecDvmtProp
GrantsPass_VehDvmt
GrantsPass_VehElecDvmt
GrantsPass_VehElecDvmtProp
Metro_VehDvmt
Metro_VehElecDvmt
Metro_VehElecDvmtProp
RogueValley_VehDvmt
RogueValley_VehElecDvmt
RogueValley_VehElecDvmtProp
SalemKeizer_VehDvmt
SalemKeizer_VehElecDvmt
SalemKeizer_VehElecDvmtProp
TotalDvmtVehOwned
TotalElecDvmtVehOwned
RegionHHMPGe
BikeFatal
BikeInjur
WalkFatal
WalkInjur
FwyDvmtPropExtCong_Metro
ArtDvmtPropExtCong_Metro
TotalBikeTripsPerCapita
